"ES"	"p_val"	"hits"	"hits_n"	"path"
"Mammalian disorder of sexual development"	-Inf	1	"NA"	0	"Mammalian disorder of sexual development"
"Influence of laminopathies on Wnt signaling"	-Inf	1	"NA"	0	"Influence of laminopathies on Wnt signaling"
"SARS CoV 2 and COVID 19 pathway"	-Inf	1	"NA"	0	"SARS CoV 2 and COVID 19 pathway"
"Linoleic acid metabolism affected by SARS CoV 2"	-Inf	1	"NA"	0	"Linoleic acid metabolism affected by SARS CoV 2"
"Intracellular trafficking proteins involved in CMT neuropathy"	-Inf	1	"NA"	0	"Intracellular trafficking proteins involved in CMT neuropathy"
"Hijack of ubiquitination by SARS CoV 2"	-Inf	1	"NA"	0	"Hijack of ubiquitination by SARS CoV 2"
"Endoplasmic reticulum stress response in coronavirus infection"	-Inf	1	"NA"	0	"Endoplasmic reticulum stress response in coronavirus infection"
"Host pathogen interaction of human coronaviruses autophagy"	3.81099110676048	0.0427907290241231	"5289"	1	"Host pathogen interaction of human coronaviruses autophagy"
"Host pathogen interaction of human coronaviruses apoptosis"	-Inf	1	"NA"	0	"Host pathogen interaction of human coronaviruses apoptosis"
"Type I interferon induction and signaling during SARS CoV 2 infection"	-Inf	1	"NA"	0	"Type I interferon induction and signaling during SARS CoV 2 infection"
"Kisspeptin kisspeptin receptor system in the ovary"	-Inf	1	"NA"	0	"Kisspeptin kisspeptin receptor system in the ovary"
"MAP3K1 role in promoting and blocking gonadal determination"	-Inf	1	"NA"	0	"MAP3K1 role in promoting and blocking gonadal determination"
"Peroxiredoxin 2 induced ovarian failure"	-Inf	1	"NA"	0	"Peroxiredoxin 2 induced ovarian failure"
"CAMKK2 pathway"	-Inf	1	"NA"	0	"CAMKK2 pathway"
"Disruption of postsynaptic signaling by CNV"	2.95783249508975	0.0710250272180113	"23237"	1	"Disruption of postsynaptic signaling by CNV"
"Activation of NLRP3 inflammasome by SARS CoV 2"	-Inf	1	"NA"	0	"Activation of NLRP3 inflammasome by SARS CoV 2"
"Host pathogen interaction of human coronaviruses MAPK signaling"	-Inf	1	"NA"	0	"Host pathogen interaction of human coronaviruses MAPK signaling"
"Overlap between signal transduction pathways contributing to LMNA laminopathies"	-Inf	1	"NA"	0	"Overlap between signal transduction pathways contributing to LMNA laminopathies"
"Host pathogen interaction of human coronaviruses interferon induction"	-Inf	1	"NA"	0	"Host pathogen interaction of human coronaviruses interferon induction"
"SARS CoV 2 and ACE2 receptor molecular mechanisms"	-Inf	1	"NA"	0	"SARS CoV 2 and ACE2 receptor molecular mechanisms"
"Pathogenesis of SARS CoV 2 mediated by nsp9 nsp10 complex"	-Inf	1	"NA"	0	"Pathogenesis of SARS CoV 2 mediated by nsp9 nsp10 complex"
"COVID 19 adverse outcome pathway"	-Inf	1	"NA"	0	"COVID 19 adverse outcome pathway"
"IL 2 signaling pathway"	-Inf	1	"NA"	0	"IL 2 signaling pathway"
"Purinergic signaling"	-Inf	1	"NA"	0	"Purinergic signaling"
"LDLRAD4 and what we know about it"	-Inf	1	"NA"	0	"LDLRAD4 and what we know about it"
"1q21 1 copy number variation syndrome"	-Inf	1	"NA"	0	"1q21 1 copy number variation syndrome"
"3q29 copy number variation syndrome"	-Inf	1	"NA"	0	"3q29 copy number variation syndrome"
"SARS coronavirus and innate immunity"	-Inf	1	"NA"	0	"SARS coronavirus and innate immunity"
"Proximal tubule transport"	-Inf	1	"NA"	0	"Proximal tubule transport"
"Cellular proteostasis"	-Inf	1	"NA"	0	"Cellular proteostasis"
"Neuroinflammation"	-Inf	1	"NA"	0	"Neuroinflammation"
"Mitochondrial complex II assembly"	-Inf	1	"NA"	0	"Mitochondrial complex II assembly"
"Mitochondrial complex III assembly"	-Inf	1	"NA"	0	"Mitochondrial complex III assembly"
"Mitochondrial complex IV assembly"	-Inf	1	"NA"	0	"Mitochondrial complex IV assembly"
"Autophagy"	3.5557340515184	0.0667352562375664	"5289"	1	"Autophagy"
"Unfolded protein response"	-Inf	1	"NA"	0	"Unfolded protein response"
"COVID 19 thrombosis and anticoagulation"	-Inf	1	"NA"	0	"COVID 19 thrombosis and anticoagulation"
"MAPK pathway in congenital thyroid cancer"	-Inf	1	"NA"	0	"MAPK pathway in congenital thyroid cancer"
"Direct reversal repair"	-Inf	1	"NA"	0	"Direct reversal repair"
"7q11 23 copy number variation syndrome"	-Inf	1	"NA"	0	"7q11 23 copy number variation syndrome"
"Perturbations to host cell autophagy induced by SARS CoV 2 proteins"	-Inf	1	"NA"	0	"Perturbations to host cell autophagy induced by SARS CoV 2 proteins"
"15q11 2 copy number variation syndrome"	-Inf	1	"NA"	0	"15q11 2 copy number variation syndrome"
"GPR143 in melanocytes and retinal pigment epithelium cells"	-Inf	1	"NA"	0	"GPR143 in melanocytes and retinal pigment epithelium cells"
"15q13 3 copy number variation syndrome"	-Inf	1	"NA"	0	"15q13 3 copy number variation syndrome"
"DNA repair pathways full network"	-Inf	1	"NA"	0	"DNA repair pathways full network"
"Nitric oxide metabolism in cystic fibrosis"	-Inf	1	"NA"	0	"Nitric oxide metabolism in cystic fibrosis"
"16p11 2 proximal deletion syndrome"	-Inf	1	"NA"	0	"16p11 2 proximal deletion syndrome"
"16p11 2 distal deletion syndrome"	-Inf	1	"NA"	0	"16p11 2 distal deletion syndrome"
"Steroid biosynthesis"	-Inf	1	"NA"	0	"Steroid biosynthesis"
"STING pathway in Kawasaki like disease and COVID 19"	-Inf	1	"NA"	0	"STING pathway in Kawasaki like disease and COVID 19"
"Airway smooth muscle cell contraction"	-Inf	1	"NA"	0	"Airway smooth muscle cell contraction"
"p53 transcriptional gene network"	-Inf	1	"NA"	0	"p53 transcriptional gene network"
"Fluoroacetic acid toxicity"	-Inf	1	"NA"	0	"Fluoroacetic acid toxicity"
"RAS and bradykinin pathways in COVID 19"	-Inf	1	"NA"	0	"RAS and bradykinin pathways in COVID 19"
"Urea cycle and metabolism of amino groups"	-Inf	1	"NA"	0	"Urea cycle and metabolism of amino groups"
"Galanin receptor pathway"	-Inf	1	"NA"	0	"Galanin receptor pathway"
"Phosphoinositides metabolism"	2.69909822668958	0.106713202498497	"5289"	1	"Phosphoinositides metabolism"
"Glycogen synthesis and degradation"	-Inf	1	"NA"	0	"Glycogen synthesis and degradation"
"GPCRs class C metabotropic glutamate pheromone"	-Inf	1	"NA"	0	"GPCRs class C metabotropic glutamate pheromone"
"Proline and hydroxyproline pathways"	-Inf	1	"NA"	0	"Proline and hydroxyproline pathways"
"nsp1 from SARS CoV 2 inhibits translation initiation in the host cell"	-Inf	1	"NA"	0	"nsp1 from SARS CoV 2 inhibits translation initiation in the host cell"
"Glycine metabolism including IMDs"	-Inf	1	"NA"	0	"Glycine metabolism including IMDs"
"Amino acid transport defects IEMs "	-Inf	1	"NA"	0	"Amino acid transport defects IEMs "
"Ethylmalonic encephalopathy"	-Inf	1	"NA"	0	"Ethylmalonic encephalopathy"
"Biotin metabolism including IMDs"	-Inf	1	"NA"	0	"Biotin metabolism including IMDs"
"Genes associated with the development of rheumatoid arthritis"	-Inf	1	"NA"	0	"Genes associated with the development of rheumatoid arthritis"
"Angiotensin II receptor type 1 pathway"	-Inf	1	"NA"	0	"Angiotensin II receptor type 1 pathway"
"Riboflavin and CoQ disorders"	-Inf	1	"NA"	0	"Riboflavin and CoQ disorders"
"Mitochondrial immune response to SARS CoV 2"	-Inf	1	"NA"	0	"Mitochondrial immune response to SARS CoV 2"
"SARS CoV 2 innate immunity evasion and cell specific immune response"	-Inf	1	"NA"	0	"SARS CoV 2 innate immunity evasion and cell specific immune response"
"Pentose phosphate pathway in senescent cells"	-Inf	1	"NA"	0	"Pentose phosphate pathway in senescent cells"
"Kynurenine pathway and links to cell senescence"	-Inf	1	"NA"	0	"Kynurenine pathway and links to cell senescence"
"NAD metabolism in oncogene induced senescence and mitochondrial dysfunction associated senescence"	-Inf	1	"NA"	0	"NAD metabolism in oncogene induced senescence and mitochondrial dysfunction associated senescence"
"Glycolysis in senescence"	-Inf	1	"NA"	0	"Glycolysis in senescence"
"TCA cycle in senescence"	-Inf	1	"NA"	0	"TCA cycle in senescence"
"Nephrogenesis"	-Inf	1	"NA"	0	"Nephrogenesis"
"Development of ureteric collection system"	-Inf	1	"NA"	0	"Development of ureteric collection system"
"Burn wound healing"	-Inf	1	"NA"	0	"Burn wound healing"
"Fatty acid transporters"	-Inf	1	"NA"	0	"Fatty acid transporters"
"FOXP3 in COVID 19"	-Inf	1	"NA"	0	"FOXP3 in COVID 19"
"7 oxo C and 7 beta HC pathways"	-Inf	1	"NA"	0	"7 oxo C and 7 beta HC pathways"
"SARS CoV 2 altering angiogenesis via NRP1"	-Inf	1	"NA"	0	"SARS CoV 2 altering angiogenesis via NRP1"
"FOXA2 pathway"	-Inf	1	"NA"	0	"FOXA2 pathway"
"Modulators of TCR signaling and T cell activation"	-Inf	1	"NA"	0	"Modulators of TCR signaling and T cell activation"
"Kallmann syndrome"	-Inf	1	"NA"	0	"Kallmann syndrome"
"Soluble ACE2 mediated cell entry of SARS CoV 2"	-Inf	1	"NA"	0	"Soluble ACE2 mediated cell entry of SARS CoV 2"
"T cell modulation in pancreatic cancer"	-Inf	1	"NA"	0	"T cell modulation in pancreatic cancer"
"Neuroinflammation and glutamatergic signaling"	2.08570731764191	0.0381599923902014	"23237;27185"	2	"Neuroinflammation and glutamatergic signaling"
"Vasopressin regulated water reabsorption"	-Inf	1	"NA"	0	"Vasopressin regulated water reabsorption"
"Pleural mesothelioma"	-Inf	0.62874921531267	"NA"	0	"Pleural mesothelioma"
"Prostaglandin signaling"	-Inf	1	"NA"	0	"Prostaglandin signaling"
"Kinin Kallikrein pathway"	-Inf	1	"NA"	0	"Kinin Kallikrein pathway"
"Complement system in neuronal development and plasticity"	-Inf	1	"NA"	0	"Complement system in neuronal development and plasticity"
"Interactions of natural killer cells in pancreatic cancer"	-Inf	1	"NA"	0	"Interactions of natural killer cells in pancreatic cancer"
"Opioid receptor pathways"	-Inf	1	"NA"	0	"Opioid receptor pathways"
"Orexin receptor pathway"	-Inf	1	"NA"	0	"Orexin receptor pathway"
"Overview of proinflammatory and profibrotic mediators"	-Inf	1	"NA"	0	"Overview of proinflammatory and profibrotic mediators"
"CCL18 signaling pathway"	-Inf	1	"NA"	0	"CCL18 signaling pathway"
"T cell activation SARS CoV 2"	-Inf	1	"NA"	0	"T cell activation SARS CoV 2"
"Regulation of actin cytoskeleton"	1.48906301187312	0.284321630028589	"5289"	1	"Regulation of actin cytoskeleton"
"Congenital generalized lipodystrophy"	-Inf	1	"NA"	0	"Congenital generalized lipodystrophy"
"Familial partial lipodystrophy"	-Inf	1	"NA"	0	"Familial partial lipodystrophy"
"Progeria associated lipodystrophy"	-Inf	1	"NA"	0	"Progeria associated lipodystrophy"
"Acquired partial lipodystrophy Barraquer Simons syndrome"	-Inf	1	"NA"	0	"Acquired partial lipodystrophy Barraquer Simons syndrome"
"Familial hyperlipidemia type 1"	-Inf	1	"NA"	0	"Familial hyperlipidemia type 1"
"Familial hyperlipidemia type 2"	-Inf	1	"NA"	0	"Familial hyperlipidemia type 2"
"Familial hyperlipidemia type 3"	-Inf	1	"NA"	0	"Familial hyperlipidemia type 3"
"Familial hyperlipidemia type 4"	4.06474769900626	0.0493803667846064	"64714"	1	"Familial hyperlipidemia type 4"
"Familial hyperlipidemia type 5"	-Inf	1	"NA"	0	"Familial hyperlipidemia type 5"
"Antiviral and anti inflammatory effects of Nrf2 on SARS CoV 2 pathway"	-Inf	1	"NA"	0	"Antiviral and anti inflammatory effects of Nrf2 on SARS CoV 2 pathway"
"Nucleotide excision repair in xeroderma pigmentosum "	-Inf	1	"NA"	0	"Nucleotide excision repair in xeroderma pigmentosum "
"Network map of SARS CoV 2 signaling pathway"	-Inf	1	"NA"	0	"Network map of SARS CoV 2 signaling pathway"
"SARS CoV 2 B 1 1 7 variant antagonises innate immune activation"	-Inf	1	"NA"	0	"SARS CoV 2 B 1 1 7 variant antagonises innate immune activation"
"Cohesin complex Cornelia de Lange syndrome"	-Inf	1	"NA"	0	"Cohesin complex Cornelia de Lange syndrome"
"SMC1 SMC3 role in DNA damage Cornelia de Lange Syndrome"	-Inf	1	"NA"	0	"SMC1 SMC3 role in DNA damage Cornelia de Lange Syndrome"
"NIPBL role in DNA damage Cornelia de Lange syndrome"	-Inf	1	"NA"	0	"NIPBL role in DNA damage Cornelia de Lange syndrome"
"Inclusion body myositis"	-Inf	1	"NA"	0	"Inclusion body myositis"
"Sphingolipid metabolism in senescence"	-Inf	1	"NA"	0	"Sphingolipid metabolism in senescence"
"Prostaglandin and leukotriene metabolism in senescence "	-Inf	1	"NA"	0	"Prostaglandin and leukotriene metabolism in senescence "
"Mitochondrial fatty acid oxidation disorders"	-Inf	1	"NA"	0	"Mitochondrial fatty acid oxidation disorders"
"Alzheimer 39 s disease"	0.585278327132419	0.447961285986343	"5289"	1	"Alzheimer 39 s disease"
"Th17 cell differentiation pathway"	-Inf	1	"NA"	0	"Th17 cell differentiation pathway"
"Non classical role of vitamin D"	-Inf	1	"NA"	0	"Non classical role of vitamin D"
"ALA oxylipin metabolism"	-Inf	1	"NA"	0	"ALA oxylipin metabolism"
"Linoleic acid oxylipin metabolism"	-Inf	1	"NA"	0	"Linoleic acid oxylipin metabolism"
"Calcium mediated T cell apoptosis involved in inclusion body myositis"	-Inf	1	"NA"	0	"Calcium mediated T cell apoptosis involved in inclusion body myositis"
"GDNF signaling"	-Inf	1	"NA"	0	"GDNF signaling"
"NRP1 triggered signaling pathways in pancreatic cancer "	-Inf	1	"NA"	0	"NRP1 triggered signaling pathways in pancreatic cancer "
"COVID 19 structural coverage map"	-Inf	1	"NA"	0	"COVID 19 structural coverage map"
"Lung pathology of COVID 19"	-Inf	1	"NA"	0	"Lung pathology of COVID 19"
"Complement mediated inflammation of pulmonary alveolus in COVID 19 hypothetical pathway "	-Inf	1	"NA"	0	"Complement mediated inflammation of pulmonary alveolus in COVID 19 hypothetical pathway "
"Lipid metabolism in senescent cells"	4.37286999436859	0.0449922544356112	"8399"	1	"Lipid metabolism in senescent cells"
"Spina bifida"	-Inf	1	"NA"	0	"Spina bifida"
"Iron sulfur cluster biogenesis"	-Inf	1	"NA"	0	"Iron sulfur cluster biogenesis"
"N glycan biosynthesis"	-Inf	1	"NA"	0	"N glycan biosynthesis"
"Docosahexaenoic acid oxylipin metabolism"	-Inf	1	"NA"	0	"Docosahexaenoic acid oxylipin metabolism"
"Arachidonic acid AA ARA oxylipin metabolism"	-Inf	1	"NA"	0	"Arachidonic acid AA ARA oxylipin metabolism"
"SARS CoV 2 replication organelle formation"	-Inf	1	"NA"	0	"SARS CoV 2 replication organelle formation"
"Urotensin II mediated signaling pathway"	-Inf	1	"NA"	0	"Urotensin II mediated signaling pathway"
"Hypertrophy model"	-Inf	1	"NA"	0	"Hypertrophy model"
"Glyoxylate metabolism"	3.85829682153884	0.0249977910418452	"10861"	1	"Glyoxylate metabolism"
"Hemesynthesis defects and porphyrias"	-Inf	1	"NA"	0	"Hemesynthesis defects and porphyrias"
"Leukotriene metabolic pathway"	-Inf	1	"NA"	0	"Leukotriene metabolic pathway"
"Iron metabolism disorders"	-Inf	1	"NA"	0	"Iron metabolism disorders"
"Disorders of galactose metabolism "	-Inf	1	"NA"	0	"Disorders of galactose metabolism "
"Ulcerative colitis signaling"	-Inf	1	"NA"	0	"Ulcerative colitis signaling"
"Disorders in ketone body synthesis"	-Inf	1	"NA"	0	"Disorders in ketone body synthesis"
"Disorders of bile acid synthesis and biliary transport"	-Inf	1	"NA"	0	"Disorders of bile acid synthesis and biliary transport"
"Disorders of fructose metabolism"	-Inf	1	"NA"	0	"Disorders of fructose metabolism"
"Biosynthesis and turnover of 1 deoxy sphingoid bases"	-Inf	1	"NA"	0	"Biosynthesis and turnover of 1 deoxy sphingoid bases"
"DYRK1A involvement regarding cell proliferation in brain development"	-Inf	1	"NA"	0	"DYRK1A involvement regarding cell proliferation in brain development"
"Roles of ceramides in development of insulin resistance"	-Inf	1	"NA"	0	"Roles of ceramides in development of insulin resistance"
"Pro survival signaling of neuroprotectin D1"	-Inf	1	"NA"	0	"Pro survival signaling of neuroprotectin D1"
"SARS CoV 2 mitochondrial chronic oxidative stress and endothelial dysfunction"	-Inf	1	"NA"	0	"SARS CoV 2 mitochondrial chronic oxidative stress and endothelial dysfunction"
"Vitamin K metabolism and activation of dependent proteins"	-Inf	1	"NA"	0	"Vitamin K metabolism and activation of dependent proteins"
"mRNA vaccine activation of dendritic cell and induction of IFN 1"	-Inf	1	"NA"	0	"mRNA vaccine activation of dendritic cell and induction of IFN 1"
"Copper metabolism"	-Inf	1	"NA"	0	"Copper metabolism"
"Creatine pathway"	-Inf	1	"NA"	0	"Creatine pathway"
"Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution"	-Inf	1	"NA"	0	"Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution"
"Modulation of PI3K Akt mTOR signaling by bioactive sphingolipids"	-Inf	1	"NA"	0	"Modulation of PI3K Akt mTOR signaling by bioactive sphingolipids"
"Cholesterol synthesis disorders"	-Inf	1	"NA"	0	"Cholesterol synthesis disorders"
"Synthesis of ceramides and 1 deoxyceramides"	-Inf	1	"NA"	0	"Synthesis of ceramides and 1 deoxyceramides"
"Disorders in ketolysis"	-Inf	1	"NA"	0	"Disorders in ketolysis"
"Inflammatory bowel disease signaling"	-Inf	1	"NA"	0	"Inflammatory bowel disease signaling"
"PtdIns 4 5 P2 in cytokinesis pathway"	-Inf	1	"NA"	0	"PtdIns 4 5 P2 in cytokinesis pathway"
"Dravet syndrome"	-Inf	1	"NA"	0	"Dravet syndrome"
"Alstrom syndrome"	-Inf	1	"NA"	0	"Alstrom syndrome"
"Clock controlled autophagy in bone metabolism"	2.24162546109034	0.158700942379226	"5289"	1	"Clock controlled autophagy in bone metabolism"
"Amino acid conjugation of benzoic acid"	-Inf	1	"NA"	0	"Amino acid conjugation of benzoic acid"
"Glucose metabolism in triple negative breast cancer cells"	-Inf	1	"NA"	0	"Glucose metabolism in triple negative breast cancer cells"
"Amino acid metabolism in triple negative breast cancer cells"	-Inf	1	"NA"	0	"Amino acid metabolism in triple negative breast cancer cells"
"Warburg effect modulated by deubiquitinating enzymes and their substrates"	-Inf	1	"NA"	0	"Warburg effect modulated by deubiquitinating enzymes and their substrates"
"Extrafollicular and follicular B cell activation by SARS CoV 2"	2.28945398618096	0.131088997092509	"23308"	1	"Extrafollicular and follicular B cell activation by SARS CoV 2"
"Diet dependent trimethylamine trimethylamine N oxide metabolism "	-Inf	1	"NA"	0	"Diet dependent trimethylamine trimethylamine N oxide metabolism "
"Metabolic reprogramming in pancreatic cancer"	-Inf	1	"NA"	0	"Metabolic reprogramming in pancreatic cancer"
"2q11 2 copy number variation syndrome"	-Inf	1	"NA"	0	"2q11 2 copy number variation syndrome"
"2q13 copy number variation syndrome"	2.59526241570504	0.129082936069965	"25885"	1	"2q13 copy number variation syndrome"
"2q21 1 copy number variation syndrome"	-Inf	1	"NA"	0	"2q21 1 copy number variation syndrome"
"2q37 copy number variation syndrome"	1.44325932225999	0.272640256337192	"27185"	1	"2q37 copy number variation syndrome"
"Nephrotoxcicity adverse outcome pathway"	-Inf	1	"NA"	0	"Nephrotoxcicity adverse outcome pathway"
"Hippocampal synaptogenesis and neurogenesis"	-Inf	1	"NA"	0	"Hippocampal synaptogenesis and neurogenesis"
"Arsenic metabolism and reactive oxygen species generation"	-Inf	1	"NA"	0	"Arsenic metabolism and reactive oxygen species generation"
"Bardet Biedl syndrome"	2.28945398618096	0.181679671503757	"51473"	1	"Bardet Biedl syndrome"
"Estradiol regulation in porto sinusoidal vascular disease"	-Inf	1	"NA"	0	"Estradiol regulation in porto sinusoidal vascular disease"
"Markers of kidney cell lineage"	-Inf	1	"NA"	0	"Markers of kidney cell lineage"
"Cholestasis"	-Inf	1	"NA"	0	"Cholestasis"
"Lac Phe pathway"	-Inf	1	"NA"	0	"Lac Phe pathway"
"G13 signaling pathway"	-Inf	1	"NA"	0	"G13 signaling pathway"
"Mitochondrial beta oxidation"	-Inf	1	"NA"	0	"Mitochondrial beta oxidation"
"COVID 19 and endothelial cell senescence"	-Inf	1	"NA"	0	"COVID 19 and endothelial cell senescence"
"Role of ROS in COVID 19 endothelial dysfunction"	-Inf	1	"NA"	0	"Role of ROS in COVID 19 endothelial dysfunction"
"Genetic causes of porto sinusoidal vascular disease"	-Inf	1	"NA"	0	"Genetic causes of porto sinusoidal vascular disease"
"LDL influence on CD14 and TLR4"	-Inf	1	"NA"	0	"LDL influence on CD14 and TLR4"
"Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists"	-Inf	1	"NA"	0	"Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists"
"Ether lipid biosynthesis"	-Inf	1	"NA"	0	"Ether lipid biosynthesis"
"Estrogen metabolism"	-Inf	1	"NA"	0	"Estrogen metabolism"
"Steroid hormone precursor biosynthesis"	-Inf	1	"NA"	0	"Steroid hormone precursor biosynthesis"
"Mineralocorticoid biosynthesis"	-Inf	1	"NA"	0	"Mineralocorticoid biosynthesis"
"Acetylcholine synthesis"	-Inf	1	"NA"	0	"Acetylcholine synthesis"
"Glucocorticoid biosynthesis"	-Inf	1	"NA"	0	"Glucocorticoid biosynthesis"
"Chronic hyperglycemia impairment of neuron function"	3.27333432081768	0.0984393475511787	"4326"	1	"Chronic hyperglycemia impairment of neuron function"
"Cell interactions of the pancreatic cancer microenvironment"	-Inf	1	"NA"	0	"Cell interactions of the pancreatic cancer microenvironment"
"Immune infiltration in pancreatic cancer"	-Inf	1	"NA"	0	"Immune infiltration in pancreatic cancer"
"17q12 copy number variation syndrome"	-Inf	1	"NA"	0	"17q12 copy number variation syndrome"
"Glycosphingolipid metabolism"	-Inf	1	"NA"	0	"Glycosphingolipid metabolism"
"Acute myeloid leukemia"	-Inf	1	"NA"	0	"Acute myeloid leukemia"
"Sildenafil treatment"	-Inf	1	"NA"	0	"Sildenafil treatment"
"Ganglio series sphingolipid metabolism"	-Inf	1	"NA"	0	"Ganglio series sphingolipid metabolism"
"ID signaling pathway"	-Inf	1	"NA"	0	"ID signaling pathway"
"Cytokines and inflammatory response"	-Inf	1	"NA"	0	"Cytokines and inflammatory response"
"TROP2 regulatory signaling"	-Inf	1	"NA"	0	"TROP2 regulatory signaling"
"Lacto series sphingolipid metabolism"	-Inf	1	"NA"	0	"Lacto series sphingolipid metabolism"
"Cholesterol metabolism"	-Inf	1	"NA"	0	"Cholesterol metabolism"
"DNA mismatch repair"	-Inf	1	"NA"	0	"DNA mismatch repair"
"Isoglobo series sphingolipids"	-Inf	1	"NA"	0	"Isoglobo series sphingolipids"
"Metabolic pathways of fibroblasts"	-Inf	1	"NA"	0	"Metabolic pathways of fibroblasts"
"Carnosine metabolism of glial cells"	-Inf	1	"NA"	0	"Carnosine metabolism of glial cells"
"Lactate shuttle in glial cells"	-Inf	1	"NA"	0	"Lactate shuttle in glial cells"
"Sebaleic acid formation and metabolism"	-Inf	1	"NA"	0	"Sebaleic acid formation and metabolism"
"Primary ovarian insufficiency"	1.42533741426273	0.311927529374508	"26047"	1	"Primary ovarian insufficiency"
"Female steroid hormones in cardiomyocyte energy metabolism"	-Inf	1	"NA"	0	"Female steroid hormones in cardiomyocyte energy metabolism"
"Male steroid hormones in cardiomyocyte energy metabolism"	-Inf	1	"NA"	0	"Male steroid hormones in cardiomyocyte energy metabolism"
"Fatty acids and lipoproteins transport in hepatocytes"	-Inf	1	"NA"	0	"Fatty acids and lipoproteins transport in hepatocytes"
"Octadecanoid formation from linoleic acid"	-Inf	1	"NA"	0	"Octadecanoid formation from linoleic acid"
"Cholesterol biosynthesis pathway in hepatocytes"	-Inf	1	"NA"	0	"Cholesterol biosynthesis pathway in hepatocytes"
"Autophagy in pancreatic ductal adenocarcinoma"	-Inf	1	"NA"	0	"Autophagy in pancreatic ductal adenocarcinoma"
"Enterocyte cholesterol metabolism"	-Inf	1	"NA"	0	"Enterocyte cholesterol metabolism"
"Induction of autophagy and toll like receptor signaling pathways by graphene oxide "	-Inf	1	"NA"	0	"Induction of autophagy and toll like receptor signaling pathways by graphene oxide "
"Glycolysis and gluconeogenesis"	-Inf	1	"NA"	0	"Glycolysis and gluconeogenesis"
"Pathophysiological roles of DUX4 in FSHD1"	-Inf	1	"NA"	0	"Pathophysiological roles of DUX4 in FSHD1"
"Abnormal calcium handling and its effects on muscle contraction in DMD"	4.95783249508975	0.0317079639677181	"7125"	1	"Abnormal calcium handling and its effects on muscle contraction in DMD"
"Cardiomyocyte signaling pathways converging on titin"	-Inf	1	"NA"	0	"Cardiomyocyte signaling pathways converging on titin"
"1p36 copy number variation syndrome"	-Inf	1	"NA"	0	"1p36 copy number variation syndrome"
"8p23 1 copy number variation syndrome"	-Inf	1	"NA"	0	"8p23 1 copy number variation syndrome"
"IL 26 signaling pathways"	-Inf	1	"NA"	0	"IL 26 signaling pathways"
"11p11 2 copy number variation syndrome "	-Inf	1	"NA"	0	"11p11 2 copy number variation syndrome "
"Kleefstra syndrome"	-Inf	1	"NA"	0	"Kleefstra syndrome"
"10q11 21q11 23 copy number variation syndrome"	-Inf	1	"NA"	0	"10q11 21q11 23 copy number variation syndrome"
"Macrophage stimulating protein MSP signaling network map"	-Inf	1	"NA"	0	"Macrophage stimulating protein MSP signaling network map"
"Metabolic Epileptic Disorders"	-Inf	1	"NA"	0	"Metabolic Epileptic Disorders"
"Affected pathways in Duchenne muscular dystrophy"	-Inf	1	"NA"	0	"Affected pathways in Duchenne muscular dystrophy"
"JAK STAT signaling in the regulation of beta cells"	-Inf	1	"NA"	0	"JAK STAT signaling in the regulation of beta cells"
"Calcium regulation in cardiac cells"	-Inf	1	"NA"	0	"Calcium regulation in cardiac cells"
"KCNQ2 related epilepsies"	-Inf	1	"NA"	0	"KCNQ2 related epilepsies"
"TAR syndrome"	-Inf	1	"NA"	0	"TAR syndrome"
"4p16 3 copy number variation"	-Inf	1	"NA"	0	"4p16 3 copy number variation"
"NF1 copy number variation syndrome "	-Inf	1	"NA"	0	"NF1 copy number variation syndrome "
"Rubinstein Taybi syndrome 1"	-Inf	1	"NA"	0	"Rubinstein Taybi syndrome 1"
"Sulfatase and aromatase pathway"	-Inf	1	"NA"	0	"Sulfatase and aromatase pathway"
"Involvement of secretase in neurodegenerative diseases"	-Inf	1	"NA"	0	"Involvement of secretase in neurodegenerative diseases"
"Osteoarthritic chondrocyte hypertrophy"	-Inf	1	"NA"	0	"Osteoarthritic chondrocyte hypertrophy"
"17p13 3 YWHAE copy number variation"	4.01029991498389	0.0471887966564339	"27185"	1	"17p13 3 YWHAE copy number variation"
"5q35 copy number variation"	-Inf	1	"NA"	0	"5q35 copy number variation"
"Smith Magenis and Potocki Lupski syndrome copy number variation"	-Inf	1	"NA"	0	"Smith Magenis and Potocki Lupski syndrome copy number variation"
"TGF Smad signaling pathway"	-Inf	1	"NA"	0	"TGF Smad signaling pathway"
"Growth factors and hormones in beta cell proliferation"	-Inf	1	"NA"	0	"Growth factors and hormones in beta cell proliferation"
"Pancreatic cancer subtypes"	4.1802249164262	0.00547836960309447	"8399;7033"	2	"Pancreatic cancer subtypes"
"UDP derived sugars synthesis in fibroblasts"	-Inf	1	"NA"	0	"UDP derived sugars synthesis in fibroblasts"
"Glycosaminoglycan synthesis in fibroblasts"	-Inf	1	"NA"	0	"Glycosaminoglycan synthesis in fibroblasts"
"Enterohepatic circulation of bile acids"	-Inf	1	"NA"	0	"Enterohepatic circulation of bile acids"
"Vitamin A1 and A5 X pathways"	-Inf	1	"NA"	0	"Vitamin A1 and A5 X pathways"
"NRXN1 deletion syndrome"	-Inf	1	"NA"	0	"NRXN1 deletion syndrome"
